BirthYear,animalGender,AnimalName,DogCount
1971,F,COQUI,1
1971,F,CORDELIA,1
1971,F,EBONY,1
1971,F,HEATHER,1
1971,F,JENNY,1
1971,F,KIAFFA,1
1971,F,KIPPIE,1
1971,F,LOLA,1
1971,F,LUCY,1
1971,F,MARI,1
1971,F,MUFFIN,1
1971,F,NINA,1
1971,F,PRINCESS,1
1971,F,SPEEDY,1
1971,F,TAFFIE,1
1971,F,TOTSIE,1
1971,M,ADOPTION,1
1971,M,BEAR,1
1971,M,BLACKIE,1
1971,M,BROWNIE,1
1971,M,BUDDY,1
1971,M,DUKE,2
1971,M,HAPPY,1
1971,M,JET,1
1971,M,KELSEX,1
1971,M,KING,1
1971,M,LUCKY,1
1971,M,ROCKLAND,1
1971,M,RUSTY,1
1971,M,SINDU,1
1971,M,SLICK,1
1971,M,SUNDANCE,1
1971,M,TWIGUE,1
1972, ,JANE,1
1972,F,BAMBI,2
1972,F,BECKY,1
1972,F,BENNY,1
1972,F,BLANGITA,1
1972,F,BUTTONS,1
1972,F,CHEEZ,1
1972,F,COCA,1
1972,F,COCOAHERD,2
1972,F,COOKIE,1
1972,F,DESIRE,1
1972,F,GIDGET,1
1972,F,HONEY,1
1972,F,LADY,1
1972,F,MISSY,2
1972,F,PENNY,2
1972,F,PRINCESS,1
1972,F,PUPPY,1
1972,F,QUEENIE,1
1972,F,SAMANTHA,1
1972,F,SHEANA,1
1972,F,SHEAPER,1
1972,F,SOLDIERBO,1
1972,F,SUSIE,1
1972,F,THRISS,1
1972,F,TIFFANY,1
1972,F,TOOTSIE,1
1972,F,TROUBLE,1
1972,F,TWINKLES,1
1972,F,UTUPRINTI,1
1972,F,WILLIE,1
1972,F,XENIA,1
1972,F,ZSA,1
1972,M,BARON,1
1972,M,BOOGIE,1
1972,M,BRUCE,1
1972,M,BUSTER,1
1972,M,BUTCH,1
1972,M,BUTCHIEBOY,1
1972,M,DAMIEN,1
1972,M,DJ,1
1972,M,DUSTY,1
1972,M,JINGLES,1
1972,M,JOHNNY,1
1972,M,JONATHAN,1
1972,M,MATT,1
1972,M,MAX,1
1972,M,MURPHY,1
1972,M,NUGGET,1
1972,M,OLIVER,1
1972,M,PENNY,1
1972,M,PRINCE,1
1972,M,PUCHIN,1
1972,M,QUINN,1
1972,M,RANDY,1
1972,M,ROCKY,1
1972,M,RUSTY,1
1972,M,SHADOW,1
1972,M,SPOT,2
1972,M,TEX,1
1973,F,BABY,1
1973,F,BAMBI,2
1973,F,BANCIA,1
1973,F,BLACKIE,1
1973,F,BOO,1
1973,F,BOOMER,2
1973,F,BRANDI,1
1973,F,CHIPPY,1
1973,F,COOKIE,1
1973,F,DALLAS,1
1973,F,DINKEY,1
1973,F,DRINA,1
1973,F,FLUFFY,2
1973,F,GIGI,2
1973,F,GIN,1
1973,F,HONEY,1
1973,F,JANE,1
1973,F,JOY,1
1973,F,LADY,2
1973,F,LITTLE,1
1973,F,LOLA,1
1973,F,LOLLIE,1
1973,F,LOVIE,1
1973,F,MINDY,1
1973,F,MINGTAY,1
1973,F,MISCHA,1
1973,F,MISSIE,1
1973,F,MISTY,1
1973,F,MONA,1
1973,F,MS,1
1973,F,MUFFIN,1
1973,F,MUNECA,1
1973,F,PATCHY,1
1973,F,PAULA,1
1973,F,PEGGY,1
1973,F,PRINCESS,1
1973,F,PUCCINA,1
1973,F,SANDY,1
1973,F,SHELBY,1
1973,F,SPARKY,1
1973,F,SPIKE,1
1973,F,SPOT,1
1973,F,SUE,1
1973,F,TASHA,2
1973,F,TOBY,1
1973,F,VENUS,1
1973,F,ZUZA,1
1973,M,ADOPTED,1
1973,M,ADOPTION,3
1973,M,AGUSTO,1
1973,M,BAMBI,1
1973,M,BAMBU,1
1973,M,BARTON,1
1973,M,BEANSEY,1
1973,M,BEAUTY,1
1973,M,BIM,1
1973,M,BLACKIE,1
1973,M,BUMM,1
1973,M,BUTCH,2
1973,M,BUTTONS,1
1973,M,CHIP,1
1973,M,CHIPPY,1
1973,M,DARIS,1
1973,M,DIXIE,1
1973,M,DUKE,2
1973,M,FLUFFY,1
1973,M,FUFFY,1
1973,M,GROM,1
1973,M,JECKEY,1
1973,M,LILLO,1
1973,M,LINDO,1
1973,M,LULO,1
1973,M,MASON,1
1973,M,MICKEY,1
1973,M,MR,1
1973,M,MUGSY,1
1973,M,MURRY,1
1973,M,OLLK,1
1973,M,PABLO,1
1973,M,PEPE,1
1973,M,PETEY,1
1973,M,PRINCE,3
1973,M,RAGS,2
1973,M,RED,1
1973,M,ROCKY,1
1973,M,RUSTY,3
1973,M,SHAKEY,1
1973,M,SKIPPY,1
1973,M,SNOOPY,1
1973,M,SPUD,1
1973,M,TANG,1
1973,M,TEDDY,1
1973,M,TIPPY,1
1973,M,TOBY,1
1973,M,WHITEY,1
1973,M,WIZ,1
1973,M,ZACHARY,1
1974, ,SCOOBS,1
1974,F,AIMEE,1
1974,F,ANGEL,1
1974,F,BABY,1
1974,F,BASIA,1
1974,F,BISCUIT,1
1974,F,BONNIE,1
1974,F,BRANDI,1
1974,F,BRANDY,3
1974,F,BROWNIE,1
1974,F,BRUTIS,1
1974,F,CANDIE,1
1974,F,CASEY,1
1974,F,CHARLIE,1
1974,F,CHASKY,1
1974,F,CINDI,1
1974,F,CLEOPATRA,1
1974,F,CLYDE,1
1974,F,COOKIE,1
1974,F,CRISTY,1
1974,F,CUDDLES,1
1974,F,CURLEY,1
1974,F,DAISY,1
1974,F,DAZY,1
1974,F,DUFFY,1
1974,F,DUKE,1
1974,F,DUTCHESS,1
1974,F,FLUFFY,3
1974,F,FRECKLES,1
1974,F,FROSTY,1
1974,F,GIGI,1
1974,F,GINA,1
1974,F,GINGER,3
1974,F,GIRL,1
1974,F,GYPSY,1
1974,F,HONNEY,1
1974,F,JESSICA,1
1974,F,KIKI,1
1974,F,KIM,1
1974,F,LADA,1
1974,F,LADY,4
1974,F,LAURA,1
1974,F,LIBRANA,1
1974,F,LIZ,1
1974,F,LOLEE,1
1974,F,LUCKY,1
1974,F,MARIE,1
1974,F,ME,1
1974,F,MIACIS,1
1974,F,MISSY,2
1974,F,MOLLIE,1
1974,F,MUCHA,1
1974,F,MUFFIN,1
1974,F,MUGSY,1
1974,F,NEGRIE,1
1974,F,OREO,1
1974,F,PANDY,1
1974,F,PATCHES,1
1974,F,PEPPER,1
1974,F,PIEPRE,1
1974,F,PINKY,1
1974,F,POLLY,1
1974,F,POOKIE,1
1974,F,PRINCESS,1
1974,F,PUFFY,1
1974,F,RAGS,1
1974,F,RASCAL,1
1974,F,SAADY,1
1974,F,SABRA,1
1974,F,SHADOW,1
1974,F,SHORTY,1
1974,F,SNOOPEY,1
1974,F,SNOOPY,1
1974,F,SPUNKY,1
1974,F,TABATHA,1
1974,F,TIPPY,1
1974,F,TRINIE,1
1974,F,VENUS,1
1974,F,VERONICA,1
1974,F,WILLEMENIA,1
1974,F,WINDY,1
1974,M,ADOPTION,1
1974,M,ALFIE,1
1974,M,ARFY,1
1974,M,BAMBI,1
1974,M,BAMBOO,1
1974,M,BARNADY,1
1974,M,BEAU,1
1974,M,BENJI,1
1974,M,BENJIE,1
1974,M,BILLBO,1
1974,M,BLACKIE,1
1974,M,BLACKY,1
1974,M,BOODLES,1
1974,M,BOOMER,1
1974,M,BRANDY,3
1974,M,BROWNIE,2
1974,M,CAESAR,1
1974,M,CASPER,1
1974,M,CAVALIERO,1
1974,M,CHAD,1
1974,M,CHAICI,1
1974,M,CHAPOO,1
1974,M,CHESTER,1
1974,M,CHICO,1
1974,M,CLYDE,1
1974,M,CURLY,2
1974,M,DINO,1
1974,M,DUKE,1
1974,M,EVIL,1
1974,M,FILIX,1
1974,M,FLEX,1
1974,M,FLOOPY,1
1974,M,FRAZER,1
1974,M,FRISKY,1
1974,M,FRITZ,1
1974,M,GAU,1
1974,M,GOLDIE,1
1974,M,GRUFFY,1
1974,M,HOLIDAY,1
1974,M,JENUE,1
1974,M,JET,1
1974,M,KELLY,1
1974,M,LEO,1
1974,M,LORD,1
1974,M,LUCKY,1
1974,M,MAX,1
1974,M,MIDNIGHT,1
1974,M,MIKE,2
1974,M,MOULIE,2
1974,M,MR,1
1974,M,NAME NOT PROVIDED,1
1974,M,NIKKI,1
1974,M,NIKOLAS,1
1974,M,PENNY,1
1974,M,PEPPER,1
1974,M,PEPPY,1
1974,M,PETY,1
1974,M,POCHI,1
1974,M,POOCHIE,1
1974,M,POPCORN,1
1974,M,PRINCE,2
1974,M,PUCHI,1
1974,M,RED,2
1974,M,REDDY,1
1974,M,ROCKY,1
1974,M,ROSCO,1
1974,M,RUSTY,2
1974,M,SAM,1
1974,M,SASSEY,1
1974,M,SHADOW,1
1974,M,SHOOPY,1
1974,M,SKIPPY,2
1974,M,SNAPER,1
1974,M,SNOOPY,3
1974,M,SPANKY,1
1974,M,SPARKY,1
1974,M,SUNSHINE,1
1974,M,SUTTON,1
1974,M,TEDDY,1
1974,M,TERRY,1
1974,M,TIGER,1
1974,M,TUFFY,1
1975,F,ADOPTION,1
1975,F,AGATHA,1
1975,F,ALYOSHA,1
1975,F,ARIEL,1
1975,F,ASHA,1
1975,F,BABETTE,2
1975,F,BAMBY,1
1975,F,BARETTA,1
1975,F,BARREL,1
1975,F,BEE-BEE,1
1975,F,BETSY,1
1975,F,BLACKIE,1
1975,F,BO-BO,1
1975,F,BOBO,1
1975,F,BOOBOO,1
1975,F,BOZO,1
1975,F,BRAMBLY,1
1975,F,BRANDY,2
1975,F,BRIDGET,1
1975,F,BROWNIE,2
1975,F,BUFFY,2
1975,F,BUTTERSCHO,1
1975,F,CHANUK,1
1975,F,CHARLIE,1
1975,F,CHI,1
1975,F,CHICKIE,1
1975,F,CHIPPY,1
