RowNum,BirthYear,animalGender,AnimalName,DogCount
1,1971,F,COQUI,1
2,1971,F,CORDELIA,1
3,1971,F,EBONY,1
4,1971,F,HEATHER,1
5,1971,F,JENNY,1
6,1971,F,KIAFFA,1
7,1971,F,KIPPIE,1
8,1971,F,LOLA,1
9,1971,F,LUCY,1
10,1971,F,MARI,1
1,1972,F,BAMBI,2
2,1972,F,COCOAHERD,2
3,1972,F,MISSY,2
4,1972,F,PENNY,2
5,1972,F,BECKY,1
6,1972,F,BENNY,1
7,1972,F,BLANGITA,1
8,1972,F,BUTTONS,1
9,1972,F,CHEEZ,1
10,1972,F,COCA,1
1,1973,F,BAMBI,2
2,1973,F,BOOMER,2
3,1973,F,FLUFFY,2
4,1973,F,GIGI,2
5,1973,F,LADY,2
6,1973,F,TASHA,2
7,1973,F,BABY,1
8,1973,F,BANCIA,1
9,1973,F,BLACKIE,1
10,1973,F,BOO,1
1,1974,F,LADY,4
2,1974,F,BRANDY,3
3,1974,F,FLUFFY,3
4,1974,F,GINGER,3
5,1974,F,MISSY,2
6,1974,F,AIMEE,1
7,1974,F,ANGEL,1
8,1974,F,BABY,1
9,1974,F,BASIA,1
10,1974,F,BISCUIT,1
1,1975,F,LADY,6
2,1975,F,MISSY,4
3,1975,F,PRINCESS,4
4,1975,F,FLUFFY,3
5,1975,F,QUEENIE,3
6,1975,F,BABETTE,2
7,1975,F,BRANDY,2
8,1975,F,BROWNIE,2
9,1975,F,BUFFY,2
10,1975,F,CHIQUITA,2
1,1976,F,PRINCESS,16
2,1976,F,DAISY,6
3,1976,F,LADY,6
4,1976,F,MUFFIN,5
5,1976,F,QUEENIE,5
6,1976,F,SANDY,5
7,1976,F,SHEBA,5
8,1976,F,BRANDY,4
9,1976,F,GINGER,4
10,1976,F,TINY,4
1,1977,F,LADY,16
2,1977,F,MUFFIN,15
3,1977,F,BRANDY,13
4,1977,F,PRINCESS,13
5,1977,F,GINGER,10
6,1977,F,PEPPER,10
7,1977,F,CINDY,7
8,1977,F,SANDY,7
9,1977,F,FLUFFY,6
10,1977,F,HAPPY,6
1,1978,F,PRINCESS,25
2,1978,F,GINGER,19
3,1978,F,SANDY,17
4,1978,F,LADY,16
5,1978,F,FLUFFY,11
6,1978,F,MISTY,11
7,1978,F,BRANDY,9
8,1978,F,MUFFIN,9
9,1978,F,PEPPER,9
10,1978,F,SHEBA,9
1,1979,F,PRINCESS,41
2,1979,F,LADY,38
3,1979,F,SANDY,27
4,1979,F,SHEBA,22
5,1979,F,GINGER,20
6,1979,F,MUFFIN,19
7,1979,F,CINDY,18
8,1979,F,CANDY,15
9,1979,F,BRANDY,14
10,1979,F,MISSY,14
1,1980,F,PRINCESS,64
2,1980,F,LADY,59
3,1980,F,GINGER,41
4,1980,F,MUFFIN,39
5,1980,F,BRANDY,36
6,1980,F,SANDY,35
7,1980,F,SHEBA,31
8,1980,F,MISSY,27
9,1980,F,PEPPER,23
10,1980,F,BAMBI,20
1,1981,F,PRINCESS,77
2,1981,F,LADY,76
3,1981,F,GINGER,46
4,1981,F,SANDY,44
5,1981,F,BRANDY,40
6,1981,F,SHEBA,31
7,1981,F,MISTY,28
8,1981,F,MUFFIN,27
9,1981,F,CANDY,25
10,1981,F,CINDY,25
1,1982,F,PRINCESS,88
2,1982,F,LADY,80
3,1982,F,SHEBA,54
4,1982,F,SANDY,50
5,1982,F,GINGER,43
6,1982,F,BRANDY,37
7,1982,F,MUFFIN,31
8,1982,F,DAISY,30
9,1982,F,BAMBI,29
10,1982,F,QUEENIE,27
1,1983,F,PRINCESS,102
2,1983,F,LADY,81
3,1983,F,SANDY,60
4,1983,F,SHEBA,57
5,1983,F,BRANDY,37
6,1983,F,GINGER,37
7,1983,F,MUFFIN,37
8,1983,F,PENNY,27
9,1983,F,MISSY,26
10,1983,F,QUEENIE,26
1,1984,F,PRINCESS,118
2,1984,F,LADY,102
3,1984,F,SHEBA,57
4,1984,F,SANDY,52
5,1984,F,GINGER,49
6,1984,F,BRANDY,39
7,1984,F,TIFFANY,32
8,1984,F,CANDY,31
9,1984,F,SAMANTHA,31
10,1984,F,MISTY,29
1,1985,F,LADY,126
2,1985,F,PRINCESS,101
3,1985,F,SANDY,52
4,1985,F,BRANDY,48
5,1985,F,GINGER,48
6,1985,F,MISTY,37
7,1985,F,SHEBA,36
8,1985,F,SAMANTHA,34
9,1985,F,PEPPER,32
10,1985,F,SHEENA,31
1,1986,F,PRINCESS,126
2,1986,F,LADY,102
3,1986,F,SHEBA,58
