RowNum,BirthYear,animalGender,AnimalName,DogCount
1,1971,M,DUKE,2
2,1971,M,ADOPTION,1
3,1971,M,BEAR,1
4,1971,M,BLACKIE,1
5,1971,M,BROWNIE,1
6,1971,M,BUDDY,1
7,1971,M,HAPPY,1
8,1971,M,JET,1
9,1971,M,KELSEX,1
10,1971,M,KING,1
1,1972,M,SPOT,2
2,1972,M,BARON,1
3,1972,M,BOOGIE,1
4,1972,M,BRUCE,1
5,1972,M,BUSTER,1
6,1972,M,BUTCH,1
7,1972,M,BUTCHIEBOY,1
8,1972,M,DAMIEN,1
9,1972,M,DJ,1
10,1972,M,DUSTY,1
1,1973,M,ADOPTION,3
2,1973,M,PRINCE,3
3,1973,M,RUSTY,3
4,1973,M,BUTCH,2
5,1973,M,DUKE,2
6,1973,M,RAGS,2
7,1973,M,ADOPTED,1
8,1973,M,AGUSTO,1
9,1973,M,BAMBI,1
10,1973,M,BAMBU,1
1,1974,M,BRANDY,3
2,1974,M,SNOOPY,3
3,1974,M,BROWNIE,2
4,1974,M,CURLY,2
5,1974,M,MIKE,2
6,1974,M,MOULIE,2
7,1974,M,PRINCE,2
8,1974,M,RED,2
9,1974,M,RUSTY,2
10,1974,M,SKIPPY,2
1,1975,M,BENJI,4
2,1975,M,LUCKY,4
3,1975,M,PETEY,3
4,1975,M,SANDY,3
5,1975,M,SMOKEY,3
6,1975,M,TINY,3
7,1975,M,BILLY,2
8,1975,M,BLACKIE,2
9,1975,M,CAINE,2
10,1975,M,CHARLEY,2
1,1976,M,ROCKY,9
2,1976,M,LUCKY,7
3,1976,M,MAX,5
4,1976,M,MUFFIN,5
5,1976,M,RUSTY,5
6,1976,M,SAM,5
7,1976,M,SKIPPY,5
8,1976,M,BLACKIE,4
9,1976,M,BRANDY,4
10,1976,M,CHAMP,4
1,1977,M,ROCKY,13
2,1977,M,BENJI,9
3,1977,M,KING,8
4,1977,M,LUCKY,8
5,1977,M,TIGER,8
6,1977,M,DUKE,7
7,1977,M,PRINCE,7
8,1977,M,SKIPPY,6
9,1977,M,SNOOPY,6
10,1977,M,BLACKIE,5
1,1978,M,LUCKY,21
2,1978,M,PRINCE,16
3,1978,M,ROCKY,14
4,1978,M,BENJI,13
5,1978,M,DUKE,12
6,1978,M,TIGER,11
7,1978,M,MAX,10
8,1978,M,TEDDY,10
9,1978,M,CHARLIE,8
10,1978,M,PEPPER,8
1,1979,M,ROCKY,25
2,1979,M,KING,23
3,1979,M,LUCKY,22
4,1979,M,DUKE,17
5,1979,M,BLACKIE,16
6,1979,M,BRANDY,13
7,1979,M,MAX,11
8,1979,M,MUFFIN,11
9,1979,M,RUSTY,11
10,1979,M,BEAU,10
1,1980,M,KING,43
2,1980,M,ROCKY,43
3,1980,M,LUCKY,37
4,1980,M,DUKE,34
5,1980,M,MAX,33
6,1980,M,BENJI,28
7,1980,M,BLACKIE,28
8,1980,M,CHAMP,26
9,1980,M,PRINCE,26
10,1980,M,RUSTY,26
1,1981,M,ROCKY,58
